mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
-0.002,0.042,-0.092,-0.001,0.075,0,0,-0.199800133266692,-8.78948504549096,7.78841508846315,0.5049,BUFF,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,820,473,Bufflehead,Petit Garrot
0.003,0.019,-0.034,0.003,0.038,0.003,0,0.300450450337708,-3.34284953624934,3.87312328784977,0.5533,BUFF,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,820,473,Bufflehead,Petit Garrot
0.023,0.058,-0.074,0.016,0.157,0.008,0,2.32665395472176,-7.13283061587128,16.9995613900914,0.6427,BUFF,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,820,473,Bufflehead,Petit Garrot
-0.03,0.041,-0.115,-0.03,0.047,-0.029,0,-2.95544664514918,-10.8633856093169,4.81220090796557,0.7856,COGO,1995-2017,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,830,474,Common Goldeneye,Garrot à oeil d'or
0.008,0.088,-0.191,0.013,0.163,0.02,0,0.803208550427348,-17.3867411848806,17.7036689688467,0.5645,COGO,2007-2017,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,830,474,Common Goldeneye,Garrot à oeil d'or
-0.036,0.047,-0.125,-0.037,0.058,-0.039,0,-3.53597065168769,-11.7503097415405,5.97149957102876,0.8175,COGO,1997-2017,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,830,474,Common Goldeneye,Garrot à oeil d'or
-0.031,0.019,-0.067,-0.032,0.01,-0.034,0,-3.05244269239741,-6.48047986632234,1.00501670841679,0.9446,COGO,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,S,830,474,Common Goldeneye,Garrot à oeil d'or
0.028,0.011,0.007,0.028,0.048,0.028,0,2.8395684421425,0.702455726684859,4.91706553244706,0.9961,COGO,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,S,830,474,Common Goldeneye,Garrot à oeil d'or
-0.037,0.024,-0.08,-0.039,0.014,-0.041,0,-3.63238646509465,-7.68836536133642,1.40984589384923,0.9395,COGO,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,S,830,474,Common Goldeneye,Garrot à oeil d'or
0.031,0.021,-0.009,0.031,0.071,0.03,0,3.14855038865227,-0.895962122711635,7.35812258683575,0.939,COME,1995-2017,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,880,489,Common Merganser,Grand Harle
-0.012,0.025,-0.06,-0.012,0.034,-0.013,0,-1.19282871380695,-5.82354664157513,3.45846067281179,0.6942,COME,2007-2017,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,880,489,Common Merganser,Grand Harle
0.019,0.021,-0.021,0.019,0.059,0.018,0,1.91816486174081,-2.07810354305404,6.07752407401589,0.8297,COME,1997-2017,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,880,489,Common Merganser,Grand Harle
0.003,0.015,-0.024,0.002,0.034,0.001,0,0.300450450337708,-2.37142902420907,3.45846067281179,0.5714,COME,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,880,489,Common Merganser,Grand Harle
0.039,0.015,0.009,0.039,0.067,0.039,0,3.97704836501578,0.904062177386789,6.92954781746002,0.9947,COME,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,880,489,Common Merganser,Grand Harle
-0.005,0.016,-0.035,-0.006,0.03,-0.008,0,-0.498752080731768,-3.43945837424335,3.04545339535169,0.6663,COME,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,880,489,Common Merganser,Grand Harle
-0.031,0.03,-0.093,-0.031,0.024,-0.03,0,-3.05244269239741,-8.88064997038595,2.42903178906215,0.8741,RBME,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,890,495,Red-breasted Merganser,Harle huppé
-0.092,0.064,-0.216,-0.092,0.028,-0.092,0,-8.78948504549096,-19.426469812652,2.8395684421425,0.9441,RBME,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,890,495,Red-breasted Merganser,Harle huppé
-0.008,0.045,-0.092,-0.011,0.086,-0.014,0,-0.796808516293934,-8.78948504549096,8.98063283051287,0.6233,RBME,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,890,495,Red-breasted Merganser,Harle huppé
-0.004,0.023,-0.032,-0.006,0.026,-0.007,0.109,-0.399201065600852,-3.14934179208024,2.6340948473442,0.6908,RUGR,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,1160,921,Ruffed Grouse,Gélinotte huppée
-0.027,0.026,-0.079,-0.027,0.022,-0.027,1.98,-2.66387584756632,-7.59600755549132,2.22437844704382,0.8585,RUGR,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,1160,921,Ruffed Grouse,Gélinotte huppée
3.426,0.017,3.29,3.426,3.561,3.434,12500.897,2975.33828627986,2584.28636558986,3419.83779297123,0.9999,RUGR,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,1160,921,Ruffed Grouse,Gélinotte huppée
-0.035,0.019,-0.073,-0.036,0.001,-0.036,0,-3.43945837424335,-7.03991699742073,0.100050016670838,0.9646,COLO,1995-2017,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-0.006,0.015,-0.036,-0.006,0.022,-0.006,0,-0.598203594606472,-3.53597065168769,2.22437844704382,0.669,COLO,2007-2017,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-0.058,0.031,-0.128,-0.056,-0.005,-0.053,0,-5.63500525632015,-12.0146620855356,-0.498752080731768,0.9791,COLO,1997-2017,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-0.018,0.012,-0.041,-0.018,0.005,-0.018,0,-1.78389676416992,-4.01708700522011,0.501252085940096,0.9359,COLO,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-0.047,0.044,-0.132,-0.049,0.042,-0.051,0,-4.59126024096289,-12.3659004920627,4.28944787507632,0.8771,COLO,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-0.022,0.014,-0.05,-0.022,0.003,-0.022,0,-2.175976494879,-4.8770575499286,0.300450450337708,0.9537,COLO,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
