mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
0.141,0.225,-0.243,0.115,0.681,0.08,0,15.1424647984744,-21.5728486228444,97.5852597230606,0.7517,GREG,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,2580,4207,Great Egret,Grande Aigrette
0.04,0.292,-0.469,0.009,0.712,-0.051,0,4.08107741923882,-37.4372416843689,103.806331185991,0.5151,GREG,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,2580,4207,Great Egret,Grande Aigrette
0.007,0.156,-0.267,-0.007,0.368,-0.028,0,0.702455726684859,-23.4326928534626,44.4842038973879,0.478,BCNH,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,2720,4275,Black-crowned Night-Heron,Bihoreau gris
0.071,0.194,-0.262,0.054,0.518,0.028,0,7.35812258683575,-23.0488976292424,67.8666956213205,0.6275,BCNH,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,2720,4275,Black-crowned Night-Heron,Bihoreau gris
-0.188,0.191,-0.533,-0.203,0.248,-0.223,0,-17.1385292767319,-41.3158199155053,28.1459932194021,0.8567,SSHA,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,3100,4603,Sharp-shinned Hawk,Épervier brun
-0.095,0.125,-0.332,-0.101,0.185,-0.107,0,-9.06270655317686,-28.2512677145557,20.3218440127695,0.8183,COHA,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,3110,4611,Cooper's Hawk,Épervier de Cooper
-0.07,0.087,-0.25,-0.07,0.106,-0.068,0,-6.76061800940517,-22.1199216928595,11.1821876506531,0.824,KILL,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,4210,3180,Killdeer,Pluvier kildir
0.082,0.243,-0.333,0.057,0.662,0.019,0,8.5455809829549,-28.3229805844301,93.8665791236518,0.6147,KILL,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,L,4210,3180,Killdeer,Pluvier kildir
0.246,0.148,0.001,0.228,0.607,0.203,0,27.8899573541738,0.100050016670838,83.4918378250854,0.9775,SPSA,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,L,4350,3356,Spotted Sandpiper,Chevalier grivelé
0.076,0.219,-0.312,0.057,0.577,0.025,0,7.89625741572839,-26.8018471771687,78.0688344599613,0.6327,SPSA,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,L,4350,3356,Spotted Sandpiper,Chevalier grivelé
0.001,0.305,-0.528,-0.022,0.714,-0.043,0.001,0.100050016670838,-41.021664238715,104.214351732903,0.4491,GRYE,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,4420,3366,Greater Yellowlegs,Grand Chevalier
-0.146,0.164,-0.421,-0.166,0.256,-0.189,0,-13.5842296815357,-34.3609898590829,29.1752727939704,0.8515,AMWO,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,4980,3315,American Woodcock,Bécasse d'Amérique
-0.035,0.06,-0.169,-0.049,0.147,-0.028,128.33,-3.43945837424335,-15.5491096613966,15.8353963029855,0.7223,RBGU,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,5150,3542,Ring-billed Gull,Goéland à bec cerclé
0.171,0.188,-0.151,0.153,0.607,0.125,0,18.6490749021712,-14.0152301340794,83.4918378250854,0.8422,RBGU,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,5150,3542,Ring-billed Gull,Goéland à bec cerclé
